Unnamed: 0,country,text,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
41016,France,"This ripe, fruity wine has both freshness and a warmer, rounded character. Apricot and fresh white peach fruits are filled out with almond flavors as well as acidity. It's a wine to enjoy now, although it will be better from 2016",Réserve des Vignerons,86,14.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2014 Réserve des Vignerons  (Saumur),Chenin Blanc,Cave de Saumur
81019,France,"This is a smooth and creamy wine with soft apple flavors mingling with almonds and brisk acidity. It has a tight edge of minerality that adds a fine texture, offering a glimpse of the extra richness that can be expected in 2–3 years.",Clos le Vigneau,90,18.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Gaudrelle 2010 Clos le Vigneau  (Vouvray),Chenin Blanc,Château Gaudrelle
129762,US,"It shows ultrarich tannins and a flavor complexity ranging from briary wild blackberries and prunes to currants, nettles, sweet tea and softened cola. It's absolutely dry, despite or perhaps because of very high alcohol. The wine is unapologetic about that ripeness, instead asking only to be happily paired with barbecue.",,87,20.0,California,Russian River Valley,Sonoma,,,Novy 2012 Zinfandel (Russian River Valley),Zinfandel,Novy
34634,Portugal,"With a high proportion of generous Alicante Bouschet in the blend, this is a big, bold wine. It has smoky flavors showing a meaty character that's enhanced by 12 months wood aging. Generous tannins give a rich, structured character. It could still do with some aging, so drink from 2017.",Santos da Casa Reserva,91,19.0,Alentejano,,,Roger Voss,@vossroger,Casca Wines 2011 Santos da Casa Reserva Red (Alentejano),Portuguese Red,Casca Wines
20284,Italy,"Baked plum, blue flower, dark spice, vanilla and dried herb emerge in the glass. The dense, chewy palate offers mature black cherry, raspberry jam, fig and sweet cake spice alongside velvety tannins. It has hit its ideal drinking window so enjoy soon.",Caleno Oro,88,,Southern Italy,Campania,,Kerin O’Keefe,@kerinokeefe,Nugnes 2009 Caleno Oro Aglianico (Campania),Aglianico,Nugnes
111397,US,"The winery says this high-alcohol wine, made from Muscat and Verdelho, was aged for ten years in barrels. It has a floral, Sherry taste, with that distinctive yeasty flavor undergirding quite sweet pineapples, oranges, apricots and white chocolate.",Dessert Wine,86,20.0,California,California,California Other,,,Elkhorn Peak NV Dessert Wine White (California),White Blend,Elkhorn Peak
26153,Germany,"Hints of lemon shortbread, fresh apple and white flower unfold on the nose of this delicately honeyed wine. On the palate, sweet white-peach and yellow-cherry flavors run just a shade off dry. Easy going and fresh, it finishes long, with a streak of tangerine acidity.",Dom Off-Dry,89,18.0,Mosel,,,Anna Lee C. Iijima,,Bischöfliche Weingüter Trier 2015 Dom Off-Dry Riesling (Mosel),Riesling,Bischöfliche Weingüter Trier
110148,Italy,"Notes of cherry and raspberry open the nose of this organic wine. It is easy on the palate, with a lean, fruit-filled finish.",Vriccio,86,20.0,Southern Italy,Puglia,,,,Antica Enotria 2011 Vriccio Primitivo (Puglia),Primitivo,Antica Enotria
125453,US,"A blend of Ciel du Cheval and Force Majeure vineyards, this wine brings a mix of pomegranate, dark raspberry, dried tobacco, crushed rock and peppery spices. It explodes on the palate with rich, dense, cranberry and spice flavors that linger.",Crazy Mary,93,48.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Mark Ryan 2012 Crazy Mary Mourvèdre (Red Mountain),Mourvèdre,Mark Ryan
69961,Chile,"Fleshy, tropical aromas with a touch of varietal snap set up a green palate with sweet lime and scallion flavors. The finish shows ripeness and tropical notes before turning heavy. Drink this well chilled.",U Estate Grown,85,11.0,Maipo Valley,,,Michael Schachner,@wineschach,Undurraga 2012 U Estate Grown Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Undurraga
73036,Australia,"This restrained, medium-bodied Cabernet Sauvignon is a solid value. On the nose, cedar, vanilla and cassis elements blend together easily, while brown sugar and vanilla flavors are supported by just enough cassis and black cherry fruit. Drink now–2028.",Two Passions,90,20.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Wildberry Estate 2013 Two Passions Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Wildberry Estate
42766,US,"Intense perfume and floral notes overcome ripe apple aromas. It's dry on the palate with flavors of savory apple and green herbs, but feels a bit flat and heavy in mouthfeel.",,83,25.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Palmer 2012 Albariño (North Fork of Long Island),Albariño,Palmer
96340,US,"This cool climate region is well-suited to this grape, producing aromatic, elegant wines such as this without the over-the-top perfume that can drive consumers away. Subtle aromas suggest light talc, acacia and calla lily, while in the mouth this is soft and smooth. Overall it's just plain pretty, with details of apple and apple skin.",Gorge Crest,90,28.0,Oregon,Columbia Gorge (OR),Oregon Other,Paul Gregutt,@paulgwine ,Phelps Creek 2015 Gorge Crest Gewürztraminer (Columbia Gorge (OR)),Gewürztraminer,Phelps Creek
9203,Portugal,"A soft apple-tinged wine, with bright acidity that cuts right through. The wine is rounded, with just enough crispness. Ready to drink.",Conde de Vimioso Colheita Seleccionada,86,9.0,Tejo,,,Roger Voss,@vossroger,Falua 2010 Conde de Vimioso Colheita Seleccionada White (Tejo),Portuguese White,Falua
88712,Italy,"Here's a Pinot Grigio that ranks high in terms of fresh, easy-drinking white wine options from northern Italy. The bouquet delivers crisp tones of honeydew melon, herb and a distant mineral dusting. In the mouth, it shows balanced freshness and a bright peach finish.",,87,17.0,Northeastern Italy,Alto Adige,,,,Erste Neue 2011 Pinot Grigio (Alto Adige),Pinot Grigio,Erste Neue
38625,Spain,"Sweaty and pickled at first, although airing reveals some hidden dark fruit aromas. The palate is grapy and accented by black plum, yet it finishes salty and cheeky, with grabby tannins. Has it good points but lacks direction and elegance.",Viña Tobía,84,11.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Tobía 2005 Viña Tobía  (Rioja),Tempranillo,Bodegas Tobía
74575,Italy,"This plush Syrah opens with a pretty ruby color and thick, almost syrupy, tones of blueberry and raspberry. The fruit aromas are followed by spice and roasted almonds and the wine is succulent and chewy to the very end.",Una Viola Signature,88,16.0,Sicily & Sardinia,Sicilia,,,,Spadina 2006 Una Viola Signature Syrah (Sicilia),Syrah,Spadina
129599,France,"This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",,90,24.0,Rhône Valley,Tavel,,Joe Czerwinski,@JoeCz,Prieuré de Montézargues 2014  Tavel,Rosé,Prieuré de Montézargues
2062,US,"This brilliant Sauvignon Blanc should be scooped up by sommeliers. It's exceptionally dry and tart in citrusy acids, with a mineral scour that's perfect for shellfish or savory appetizers. The flavors are of lemons, limes, gooseberries and white pepper. Beautiful and compelling.",,91,17.0,California,Napa Valley,Napa,,,Broman 2008 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Broman
59333,Argentina,"Foxy berry aromas are the lead scent, and they're followed by notes of wet dog and raspberry. This is full bodied and round as a ball, with earthy, lightly herbal flavors of red berries, thyme and rosemary. A warm, loamy finish brings oaky flavors and closing weight. Drink this blend of 70% Malbec and 30% Cabernet Sauvignon through 2016.",Amancaya Gran Reserva,89,21.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodegas Caro 2011 Amancaya Gran Reserva Malbec-Cabernet Sauvignon (Mendoza),Malbec-Cabernet Sauvignon,Bodegas Caro
51953,South Africa,"A decadent blend of ripe berries and rich oak characterizes this wine; sweet smoke and baking spice mingle harmoniously with notes of mashed raspberry and blackberry, accented by hints of hickory-cured bacon and raw cocoa nibs. The medium-weight mouth is structured and bold, with chewy tannins and heady flavors of plum and berry preserves, roasted coffee and sweet licorice. The finish is long and dry, and although this would certainly benefit from 5–10 years of cellaring time, it's approachable now with decanting.",Redhill,92,38.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2011 Redhill Pinotage (Stellenbosch),Pinotage,Simonsig
50600,US,"Tastes a bit medicinal, with a sweet-sour quality of lemons and pineapples, and is quite acidic. Lacks richness, but it's a decent everyday Chardonnay.",,83,14.0,California,Central Coast,Central Coast,,,Castoro Cellars 2007 Chardonnay (Central Coast),Chardonnay,Castoro Cellars
93473,Portugal,"Quinta do Pégo produces a light, fast maturing style of vintage Port. This 2009 has the bonus of great richness, although its fruity character and soft tannins suggest it will mature rapidly.",Quinta do Pégo Vintage,87,28.0,Port,,,Roger Voss,@vossroger,Rozes 2009 Quinta do Pégo Vintage  (Port),Port,Rozes
105270,US,"A surprisingly green tinge vies with tobacco, raspberry and woodspice for attention. This wine is full in feel with good concentration of flavors but ultimately the greenness provides distraction.",,88,28.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Tamarack Cellars 2012 Merlot (Columbia Valley (WA)),Merlot,Tamarack Cellars
25069,France,"Dense and dry, this is a tough, extracted wine. It has a hard edge followed by juicy acidity and will probably remain on the dry side.",,85,20.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Grand Bourgeau 2015  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Grand Bourgeau
1472,US,"This varietal Cabernet Sauvignon hails from the producer's organic Chiles Valley estate. It's muscular and lushly layered, with spicy leather and tobacco notes accented by a delicate touch of violet and supported by firm, grippy tannin. Drink now through 2033.",Sievers Reserve,93,80.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Volker Eisele Family Estate 2013 Sievers Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Volker Eisele Family Estate
54640,Spain,"Standard berry aromas show touches of raisin and earth, but not too much of either. It feels fresh, crisp and alert, with cherry tomato, berry fruit, tobacco and vanilla flavors. This feels healthy but not real deep or complex on the finish.",Single Vineyard Roble,86,13.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Finca El Encinal 2009 Single Vineyard Roble  (Ribera del Duero),Tempranillo,Finca El Encinal
118066,US,"The blend is mainly Cabernet Sauvignon, with the other four classic Bordeaux varieties added for complexity. The grapes were sourced from vineyards throughout Sonoma County, and the finished wine was aged in 75% new oak. It's very fine, with concentrated, intense blackberry, cherry and crème de cassis flavors.Minerality, in the form of granite, lends a lick of stone. It's still extremely tannic, and needs much more timebefore it begins to come around.",La Joie,96,450.0,California,Sonoma County,Sonoma,,,Verité 2007 La Joie Red (Sonoma County),Bordeaux-style Red Blend,Verité
123779,Portugal,"Named after Siza Vieira, the architect of the modern Adega Mayor winery, this dense, darkly colored wine is hugely ripe, with great fruits and rich coffee and spice flavors. It's a wine that perfectly fits the adjective opulent, powered by great fruits and dense tannins, with fine aging potential. Drink from 2017.",Siza,93,75.0,Alentejano,,,Roger Voss,@vossroger,Adega Mayor 2009 Siza Alicante Bouschet (Alentejano),Alicante Bouschet,Adega Mayor
73985,France,"A gorgeously perfumed wine, dominated by the ripest Cabernet Franc, combining richness and an intense structure. With its tannins, it will age well over many years. The fruit is finely textured, deliciously juicy, showing the most complex series of flavors.",,95,295.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Le Dôme 2009  Saint-Émilion,Bordeaux-style Red Blend,Le Dôme
48269,US,"New oak dominates this wine, giving it aromas of toast and vanilla. After decanting, the air brings out interesting notes of dried herbs and blackberries. Tastes very rich and flamboyant, almost sweet, like a chocolate berry pastry, and should develop over the next few years. Mainly Cabernet Sauvignon, with Sangiovese, Cabernet Franc and Petit Verdot.",Meritaggio,90,55.0,California,Napa Valley,Napa,,,David Arthur 2008 Meritaggio Red (Napa Valley),Red Blend,David Arthur
88504,Australia,"This blend of 79% Sauvignon Blanc and 21% Semillon is pungent and sweaty, with an almost Collio-like pungency. It's a bold, in-your-face passion-fruit monster that fades quickly on the finish.",Miamup,88,23.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Howard Park 2015 Miamup Sauvignon Blanc-Semillon (Margaret River),Sauvignon Blanc-Semillon,Howard Park
102631,Portugal,"All the warm southern heat of the Alentejo is in this wine. It is rich, generous and full of ripe, black fruits. Berries and juicy damsons are spiced with pepper, rich tannins and lifted by acidity. It is a wine for big meat dishes, for stews, a powerful, no-holds-barred style. It will be ready to drink from 2017.",Azul Portugal Reserva,90,40.0,Alentejano,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Azul Portugal Reserva Red (Alentejano),Portuguese Red,Wines & Winemakers
64187,South Africa,"73% Merlot, with Cabernet and Petite Verdot making up the difference, this is a finely crafted and delicious effort. Medium-bodied and creamy, the Merlot gives this wine a feminine feel, despite solid, soft tannins. Dark, extracted black fruits have some accents of forest and black olive, while leather adds to the cherry and cassis nose. Could use time to soften further, but very approachable now.",,90,55.0,Stellenbosch,,,,,Tokara 2003 Red (Stellenbosch),Bordeaux-style Red Blend,Tokara
124726,Georgia,"This inky red-violet wine has a nose of blueberry pie, green pepper and violet. It is slightly tart at first sip, with tannins that hide at first and then coat the tongue and gums. A rich flavor profile of blackberry, cranberry, anise, violet and white chocolate makes way for cherry and chocolate notes in the finish.",Mukuzani,90,16.0,Kakheti,,,Mike DeSimone,@worldwineguys,Teliani Valley 2013 Mukuzani Saperavi (Kakheti),Saperavi,Teliani Valley
118840,Italy,"Succulent steak or breaded veal would make good pairing partners to this elegant Brunello. The wine delivers oak spice, red fruit, black pepper and balsam notes of dried ginger and cola. The wine is lively and delicate with some astringency to the tannins that will soften in a few more years.",Agricola Centolani,90,,Tuscany,Brunello di Montalcino,,,,Pietranera 2008 Agricola Centolani  (Brunello di Montalcino),Sangiovese Grosso,Pietranera
121814,France,"This wine is firm with solid tannins. It has rich fruit and concentration with layers of blackberry and dark plums. It comes from a small seven-acre property and is aged for 15 months in wood. This impressive wine needs to age, so drink from 2022.",Cuvée Excellence,92,35.0,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château Lafleur du Roy 2015 Cuvée Excellence  (Pomerol),Bordeaux-style Red Blend,Château Lafleur du Roy
81493,Italy,"This opens with delicate scents of field flower and white stone fruit. On the creamy off-dry palate, a soft mousse backs up sweet white peach, green apple and a candied citrus note while bright acidity lends freshness.",Dry,88,22.0,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Andreola 2016 Dry  (Valdobbiadene Prosecco Superiore),Glera,Andreola
54403,France,"Steely, minerally and very textured, this has concentratio and taut layer of acidity to go with the lime fruit. Powered by its structure, it will age for 3–4 years.",Vau de Vey Premier Cru,92,36.0,Burgundy,Chablis,,Roger Voss,@vossroger,Romain Bouchard 2010 Vau de Vey Premier Cru  (Chablis),Chardonnay,Romain Bouchard
59409,US,"This wine is hugely robust in concentration and power, a study in mountain-grown brambly berry and serious tannin. Bark, pencil and a wealth of spiced plum form the core of its character, with secondary elements of cherry and cigar box coming into play over time. Enjoy best beginning in 2024 through 2034.",Stir It Up Stagecoach Vineyard,94,110.0,California,Napa Valley,Napa,Virginie Boone,@vboone,World's End 2014 Stir It Up Stagecoach Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,World's End
15304,Italy,"Black plum, tilled soil, leather and grilled sage aromas lead the nose on this structured wine. The dense palate delivers blackberry, blueberry, dried date, roasted coffee bean and mocha alongside firm, drying tannins. A licorice note marks the finish.",Podere Le Maragnole,89,45.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Le Bertarole 2010 Podere Le Maragnole  (Amarone della Valpolicella Classico),Red Blend,Le Bertarole
82129,US,"There's a touch of crushed ant aroma on the nose of this wine from an old Paso vineyard, which also also gives scents of ripe stone fruit, lime pith and dill. Once sipped, a pear juice flavor dominates along with a lime juice-on-nectarine element that adds a sour twist.",HMR Vineyard,88,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Adelaida 2013 HMR Vineyard Chardonnay (Paso Robles),Chardonnay,Adelaida
76560,Italy,"Diomede is a plusher, chewier expression of Aglianico with background notes of vanilla and sweet spice that peek between dominant aromas of blackberry and cassis. Like other expressions of this tannic grape, what distinguishes this wine is its firm structure that should be paired to fatty meat or succulent steak.",Diomede,89,35.0,Southern Italy,Aglianico del Taburno,,,,Ocone 2004 Diomede  (Aglianico del Taburno),Aglianico,Ocone
51109,US,"Robust and country-style, this is a nice wine for barbecue and beef stews. Very dry and tannic, it shows harmonious flavors of blackberries, currants and wild nettles. Buy this young wine for your full-bodied house red.",Saxy,87,12.0,California,North Coast,North Coast,,,R & B Cellars 2006 Saxy Syrah (North Coast),Syrah,R & B Cellars
102586,US,"Fruit-forward and simple, with the sugared taste of black cherry jam. Very high alcohol shows up in the form of jalapeño pepper heat.",Estate,82,25.0,California,Paso Robles,Central Coast,,,Midnight 2009 Estate Merlot (Paso Robles),Merlot,Midnight
32929,Australia,"This style of simply yummy, quaffable wine is what Australian Grenache is so capable of producing. Despite high alcohol (16.5%), it doesn't show heat on the palate, instead offering oodles of black cherries and some accents of baking spices. It's round, supple and easy to drink, with a touch of coffee on the finish. Imported by USA Wine West.",Old Vine,88,21.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Fire Block 2004 Old Vine Grenache (Clare Valley),Grenache,Fire Block
95685,US,"Bright cherry and mellow menthol flavors dance on a smooth but firm texture of light tannins in this full-bodied wine. A cedary, minty character lasts into the finish.",,87,17.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Weibel Family 2013 Zinfandel (Mendocino County),Zinfandel,Weibel Family
20890,US,"A new label for MacMurray Ranch, this Pinot Gris is stony in fresh nectarine, pear and mango, wrapped in a creamy texture that develops fleshy flavors of fig in the glass. The fruit is sourced from both MacMurray Ranch and Gallo's cooler Russian River Valley outpost, Two Rock, near Petaluma.",,88,20.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,MacMurray Estate Vineyards 2013 Pinot Gris (Russian River Valley),Pinot Gris,MacMurray Estate Vineyards
121044,France,"At only 7.5% alcohol, this is remarkably light and easy to drink, with vibrant notes of fresh peach, honeysuckle, baked apple and sweet, ripe pear, all balanced by ample acidity and brisk carbonation. The sweet fruit flavors are coupled with a lingering toasty richness on the finish. Versatile and friendly, this is an ideal apéritif or after-dinner drink.",Côté Mas Méthode Ancestrale,90,18.0,Languedoc-Roussillon,Blanquette de Limoux,,Lauren Buzzeo,@laurbuzz,Domaines Paul Mas NV Côté Mas Méthode Ancestrale Mauzac (Blanquette de Limoux),Mauzac,Domaines Paul Mas
18994,Italy,"Prune, grilled herb and a whiff of salted-game aromas carry over to the light-bodied palate along with dried black cherry and a hint of clove. It's über-simple, with loose fleeting tannins.",,84,20.0,Veneto,Valpolicella Classico Superiore,,Kerin O’Keefe,@kerinokeefe,Monte Santoccio 2015  Valpolicella Classico Superiore,Red Blend,Monte Santoccio
105027,France,"With the richness of the vintage, the natural tannins of Tannat are tamed by the welter of intense black fruits, sweet berries and Arabica coffee. The structure is exhibited in the dusty tannins under all the fruit.",Madiran Laplace,92,15.0,Southwest France,Madiran,,Roger Voss,@vossroger,Château d'Aydie 2009 Madiran Laplace Tannat (Madiran),Tannat,Château d'Aydie
52944,US,"Given 22 months in new French oak, this reserve Pinot Noir still brings the fruit front and center. Blackberries rule here, but there is a strong menthol/mint streak as well, which leaves the palate feeling as if a curiously strong breath mint has recently passed through. Kason seems to have great fruit sources, packaged in a rather rustic style, but offering quite delicious and bold flavors at moder prices.",Old Vine Reserve,88,29.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Kason 2006 Old Vine Reserve Pinot Noir (Willamette Valley),Pinot Noir,Kason
116906,France,"This wine offers red berry fruits, the softest tannins and texture and an earthy, rustic aftertaste. Drink now.",Harmonie,83,35.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Charles Frey 2013 Harmonie Pinot Noir (Alsace),Pinot Noir,Domaine Charles Frey
111902,US,"Aromas recall dried herbs, blueberry, dill and vanilla. The palate brings rich blue fruit and cocoa flavors backed by firm, slightly dry tannins.",,88,28.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mercer 2012 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Mercer
60339,Austria,"Rose petals, Turkish delight and honeysuckle leave no doubt that this is from the aromatic Traminer family. The nose and palate are pervaded by perfume and overall mellow softness. This will be a killer with washed-rind cheeses.",Steintal,89,31.0,Südoststeiermark,,,Anne Krebiehl MW,@AnneInVino,Neumeister 2012 Steintal Roter Traminer (Südoststeiermark),Roter Traminer,Neumeister
70973,Italy,"This 90th anniversary edition boasts enticing aromas of baked plum, crushed violet, new leather, French oak and a whiff of pipe tobacco. The firm concentrated palate presents layers of dried blackberry, black cherry extract, licorice and cake spice framed in assertive fine-grained tannins. Give it a few more years to fully develop. Drink through 2018–2026.",Famiglia Pasqua Riserva,92,190.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Pasqua 2006 Famiglia Pasqua Riserva  (Amarone della Valpolicella),Red Blend,Pasqua
91899,Spain,"Baked black-fruit aromas feature a ton of oak and related char and spice. In the mouth, this is pulling, blocky, tannic and wiry. A mixed bag of oak, spice, clove and blackberry flavors finishes like a campfire, with choppy, hard tannins that make for a rock-hard closing mouthfeel.",Capr icho,86,28.0,Northern Spain,Cigales,,Michael Schachner,@wineschach,La Legua 2013 Capr icho Tempranillo (Cigales),Tempranillo,La Legua
47784,France,"Bread and lemon, rather than primary fruit, denotes the scent. The dry and restrained palate is serious and values yeasty autolytic notes above fruit. There is lemon freshness among the yeast and bread flavors and a dry, almost severe finish.",Brut Prestige,88,20.0,Alsace,Crémant d'Alsace,,Anne Krebiehl MW,@AnneInVino,Arthur Metz NV Brut Prestige Sparkling (Crémant d'Alsace),Sparkling Blend,Arthur Metz
32932,Austria,"The crispness is paramount here, maybe too much, meaning that the wine is very green. Of course, this is Riesling and is way too young now. For the moment, the fruit is taut and strung out, and it certainly needs 2–3 years.",1000-Eimerberg Smaragd,88,29.0,Wachau,,,Roger Voss,@vossroger,Gritsch Mauritiushof 2007 1000-Eimerberg Smaragd Riesling (Wachau),Riesling,Gritsch Mauritiushof
112172,Italy,"Aromas of white flower, tropical fruit and an herbal note lead the nose on this medium-bodied white. The juicy, generous palate doles out ripe pear, tangerine, mineral and white almond. Soft but fresh enough acidity offsets the creamy flavors.",Camestri,88,16.0,Piedmont,Roero,,Kerin O’Keefe,@kerinokeefe,Marco Porello 2015 Camestri  (Roero),Arneis,Marco Porello
67146,US,"Black cherry, crushed lava rocks, anise, turned loam and a hint of vanilla show on the nose of this bottling. It's rather light and easy on the sip, with a lighter body presenting flavors of candied red fruit and sagebrush spice.",Tondre,88,48.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,AuburnJames 2014 Tondre Pinot Noir (Santa Lucia Highlands),Pinot Noir,AuburnJames
99544,France,"This serious, ripe offering is packed with red berry and stone fruit flavors. It also has complex touches of toast and acidity, producing a sense of dryness. This is finely balanced and is now ready to drink, but it will also likely age for a few more years.",Grand Vintage Brut Rosé,93,,Champagne,Champagne,,Roger Voss,@vossroger,Moët & Chandon 2004 Grand Vintage Brut Rosé  (Champagne),Champagne Blend,Moët & Chandon
103101,Italy,"Made with native grape Arneis, this delivers aromas of tart green apple, citrus and yeasty bread crust. These carry over to the palate alongside a persistent effervescence and bright acidity. It finishes on a walnut note.",For You Metodo Classico,87,40.0,Piedmont,Roero,,Kerin O’Keefe,@kerinokeefe,Demarie 2010 For You Metodo Classico  (Roero),Arneis,Demarie
122742,New Zealand,"Still youthful and vibrant, the 2007 Taylors Pass Pinot Noir features full-on black cherry fruit, tinged with hints of herbs and licorice. It's a beefy, chunky Pinot that should age reasonably well; drink now–2018.",Taylors Pass Vineyard,90,44.0,Marlborough,,,Joe Czerwinski,@JoeCz,Villa Maria 2007 Taylors Pass Vineyard Pinot Noir (Marlborough),Pinot Noir,Villa Maria
